bmw,"316 i - E46,316 i - F90,316 i - F30,318 i - E46,318 i - E90,318 i - F30,320 i - E46,320 i - E90,320 i - F30,325 i - E46,325 i - E90,328 i - F30,330 i - E46,330 i - E90,330 i - F30,335 i - E90,335 i - F30,340 i - F30,520 i - E60,520 i - F10,523 i - E60,523 i - F10,525 i - E60,528 i - E60,528 i - F10,530 i - E60,530 i - F10,535 i - E60,535 i - F10,x3 - E83,x4 - F26,x3 - F25"
byd,"F3,L3"
DFSK, eagel - 580
mg,"3,350,350 c,350 s,5,750,75,6"
اسبرانزا,"A11,A103,A213,A516,A620,M11,M12,QQ اريزو,انفي,كينجو,سيري "
البينا,"B5,B6,B7,B8"
الفاروميو,"156,اسبايدر,جوليتا,مسيتو"
اوبل,"استرا,انسجنيا,تيجرا,جراند لاند,فيكترا,كروس لاند,كاسكادا,كورسا,موكا,سيريفا"
audi,"80,A1,A3,A4,A5,A6,Q3,Q5,Q7,S4"
بروتون,"اكسورا,بريفي,برسونا,جين 2,ساجا,واجا,ويرا"
بريليانس,"FRV,FSV,S30,SVR,V5,V6,جالينيا,اسبلندور,كروس"
بيجو,"2008,206,207,208,3008,301,307,308,405,406,407,408,5008,504,505,508,806,بارتنر"
تشانجان,"CS35,V7,ميني بيني"
تويوتا,"افانزا,افيدنسيس,اوريس,ايكو,برادو,تركي,تيرسل,جمل,جنوب افريقيا,خليجي,ستارلين,فورتشينر,كامري,كروان,كرسيدا,كورولا,كورونا,ياريس,nil4x-ELG00,استيش,لاندكروزر"
جاك,"A13,S2,S3,S7,J3"
جريتول,C30
جلوري,جلوري
جيب,"XJ,KK,جراند شيروكي,رانجلر,رينيجيد,كومباس,ليبرتي"
جيلي,"Ck,mk,x7,اكسباندينو,امبريال,امجراند,باندا,بانديتو"
دايهتسو,"ابلوز,برودوا,تيريوس,جراند تيريوسي,جراند ماكس,سيرون,شاريد,كانشيل,كليسا,مايتريا,ميرا"
دايو,"اسبيرو,نيكو,جوليت,ريسر,سيلو,لاسيتي,لانوس,ليجانرا,ماتيز,نوبيرا"
دودج,"تشارج,ردورانجو"
رولز رويس,سيلو
رينو,"19,9,mcv,اوبتيما,داستر,ريمبو,سانديرو,سكالا,سيمبول,سينيك,فلوانس,كابتشر,كادجار,كليو,لاجونا,لوجان,لودجي,ميجان"
سانج يونج,"xlv,تيفولي"
سكودا,"A4 اوكتافيا,A5 اوكتافيا,A7 اوكتافيا,رابيد,روميستر,سوبيرب,فابيا,فانتزيا,فيليشيا,فيفوريت,كودياك,ميني فابيا,ياتي"
سوبارو,"XV,امبريزا"
سوزوكي,"SX4,ارتيجا,التو,بيكاب,سويفت,سياز,سيلاريو,فان,فيتارا,ماروتي,نيوسويفت"
سيات,"ابيزا,اتيكا,التيا,توليدو,قرطبة,ليون"
سيتروين,"AX,C3,C4,C5,DS4,DS5,ZX,C3 Picaso,اكسارا,البزايه,بيرلينجو,سياليزيه"
سينوفا,"A1,X25,X35,بايك,فانبايك"
شانا,"بينى,نيوستار"
شانجى,سوبر باندا
شيفورلية,"افيو,اوبترا,سبارك,سونيك,كابتيفا,كابريس,كروز,لانوس,نيو اوبترا,N200,N300,NBR,جامبو,جامبو اكتروس,دبابة,لف"
